BenutzerNr;FahrzeugNr;ArtNr;Datum;Laufleistung;Strecke;Tankmenge;Kosten;KraftstoffNr;Kraftstoff;Notiz;Verbrauch;Sparsam;Normal;Schnell;Winter;Sommer;Ganzjahr;Stadt;Land;Autobahn;Klima;Anhaenger
10663;12297;1;2016-06-13;118892;582;25,70;27,22;1;Diesel;;4,42;0;1;0;0;1;0;1;1;1;1;0
10663;12297;1;2016-05-30;118310;992;45,82;49,44;1;Diesel;;4,62;0;1;0;0;1;0;1;1;1;1;0
10663;12297;1;2016-05-25;117318;628;29,80;31,26;1;Diesel;;4,75;0;1;0;0;1;0;1;1;1;1;0
10663;12297;1;2016-05-16;116690;823;38,71;41,38;1;Diesel;;4,70;0;1;0;0;1;0;1;1;1;1;0
10663;12297;1;2016-05-05;115867;701;35,08;36,10;1;Diesel;;5,00;0;1;0;0;1;0;1;1;1;0;0
10663;12297;1;2016-04-28;115166;462;22,56;24,12;1;Diesel;;4,88;0;1;0;0;1;0;1;1;1;0;0
10663;12297;1;2016-04-14;114704;835;40,92;40,47;1;Diesel;;4,90;0;1;0;0;1;0;1;1;1;0;0
10663;12297;1;2016-04-11;113869;655;32,44;32,41;1;Diesel;;4,95;0;1;0;0;1;0;1;1;1;0;0
10663;12297;1;2016-03-30;113214;679;33,66;35,31;1;Diesel;;4,96;0;1;0;1;0;0;1;1;1;0;0
10663;12297;1;2016-03-23;112535;644;32,20;32,17;1;Diesel;;5,00;0;1;0;1;0;0;1;1;1;0;0
10663;12297;1;2016-03-18;111891;462;23,00;22,52;1;Diesel;;4,98;0;1;0;1;0;0;1;1;1;0;0
10663;12297;1;2016-03-08;111429;304;41,88;40,58;1;Diesel;;5,09;0;1;0;1;0;0;1;1;1;0;0
10663;12297;2;2016-03-07;111125;725;10,50;10,70;1;Diesel;;1,45;0;1;0;0;1;0;1;0;0;1;0
10663;12297;1;2016-03-04;110400;561;27,71;27,96;1;Diesel;;4,94;0;1;0;1;0;0;1;1;1;0;0
10663;12297;1;2016-02-25;109839;799;43,47;40,82;1;Diesel;;5,44;0;1;0;1;0;0;1;1;1;0;0
10663;12297;1;2016-02-18;109040;850;42,13;39,14;1;Diesel;;4,96;0;1;0;1;0;0;1;1;1;0;0
10663;12297;1;2016-02-08;108190;710;37,99;36,05;1;Diesel;;5,35;0;1;0;0;1;0;1;0;0;1;0
10663;12297;3;2016-01-29;107480;0;40,27;38,22;1;Diesel;;0,00;0;1;0;0;1;0;1;0;0;1;0
