ArtNr	Datum	Laufleistung	Tankmenge	Kosten
3	2020-11-24	64	30.5	34.44
1	2020-12-12	227	16.3	18.73
1	2020-12-12	640	26.9	31.19
1	2020-12-13	1141	33.76	41.15
